"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,67,"良",46,85,42,1.5,45,44,5
2013-12-03,106,"轻度污染",70,162,42,2.1,54,37,31
2013-12-04,95,"良",71,135,26,1.5,46,55,19
2013-12-05,80,"良",56,110,33,1.6,51,57,25
2013-12-06,70,"良",51,87,23,1.1,40,54,13
2013-12-07,72,"良",47,95,38,1.6,46,43,4
2013-12-08,55,"良",28,61,45,1.3,37,59,4
2013-12-09,85,"良",63,114,31,1.4,42,70,39
2013-12-10,58,"良",34,66,38,1.3,38,54,9
2013-12-11,71,"良",40,92,23,1.1,42,32,31
2013-12-12,56,"良",26,61,35,1.1,37,47,12
2013-12-13,65,"良",32,79,20,1.3,41,45,17
2013-12-14,69,"良",43,87,14,1.2,40,25,19
2013-12-15,24,"优",13,20,5,0.8,26,47,2
2013-12-16,45,"优",24,45,22,0.7,25,59,30
2013-12-17,84,"良",62,101,41,1.3,55,58,65
2013-12-18,114,"轻度污染",86,139,38,1.8,63,81,80
2013-12-19,83,"良",62,107,31,1,55,87,36
2013-12-20,101,"轻度污染",76,137,31,1.7,59,63,40
2013-12-21,115,"轻度污染",87,141,15,1.6,61,33,55
2013-12-22,69,"良",49,88,15,1.3,49,71,5
2013-12-23,76,"良",47,103,19,1.5,56,59,7
2013-12-24,96,"良",72,115,15,1.4,50,48,16
2013-12-25,77,"良",57,98,15,1.4,43,52,7
2013-12-26,68,"良",49,78,11,1.7,44,32,25
2013-12-27,62,"良",45,72,20,1.6,38,11,14
2013-12-28,79,"良",58,100,16,1.2,41,47,26
2013-12-29,67,"良",46,83,16,1,37,69,10
2013-12-30,65,"良",40,80,26,1.3,41,66,4
2013-12-31,72,"良",53,85,28,1.5,47,52,8
2014-01-01,68,"良",42,86,38,1.4,47,55,15
2014-01-02,53,"良",29,57,34,1.1,37,69,3
2014-01-03,76,"良",56,99,28,1.3,50,64,31
2014-01-04,102,"轻度污染",76,122,25,1.3,57,67,61
2014-01-05,62,"良",34,75,28,1.4,44,59,5
2014-01-06,55,"良",26,59,27,1.1,38,61,6
2014-01-07,54,"良",28,59,28,1,42,65,7
2014-01-08,70,"良",39,91,23,1.1,46,64,84
2014-01-09,63,"良",38,75,20,1.1,42,64,55
2014-01-10,52,"良",26,55,28,1,37,65,7
2014-01-11,54,"良",27,58,31,1.1,39,68,12
2014-01-12,62,"良",45,69,19,1.4,39,41,39
2014-01-13,56,"良",40,58,22,1.4,40,54,27
2014-01-14,90,"良",67,104,31,2,51,52,64
2014-01-15,49,"优",31,49,14,1,31,49,7
2014-01-16,51,"良",31,52,27,1.2,36,56,5
2014-01-17,102,"轻度污染",77,110,18,1.3,51,36,40
2014-01-18,110,"轻度污染",83,126,25,1.4,53,49,56
2014-01-19,102,"轻度污染",77,132,33,1.9,52,58,29
2014-01-20,63,"良",46,70,19,1,38,61,20
2014-01-21,63,"良",45,60,25,0.9,37,37,32
